Kadar Al2O3;Reactive SiO2 (Kaolinite, Clay,Ect);Fe2O3 (Hematite — INERT in NaOH);TiO2 (Rutile/Anatase — INERT);CaO (Calcium Oxide — INERT);MgO (Magnesium Oxide — INERT);Na2O (Sodium Oxide — INERT);K2O (Potassium Oxide — INERT);Cr2O3 (Chromium Oxide — INERT);Others;Total;Feed flow rate (ton/hour);Net Make-up NaOH Required (Recycled Spent Liquor)   ;CaO Addition in process ;Water added into system from redmud washing into conditioning   ;Alumunium in bauxite bauxite feed ;Alumunium in Recycled Spent Liquor  ;Alumina Hydrate Seed
62.78%;3.88%;17.86%;1.46%;1.41%;0.61%;0.07%;0.42%;0.02%;11.50%;100.00%;150;5.819384487;2.48723333;85.2982121;39.86734975;9.041611297;951.3190155
51.17%;3.24%;16.94%;0.60%;0.64%;0.52%;0.12%;0.13%;0.07%;26.56%;100.00%;150;6.113409534;2.717523131;70.06627568;32.4956742;9.322439213;649.7739246
60.36%;6.64%;14.67%;2.56%;0.86%;0.46%;0.07%;0.21%;0.13%;14.03%;100.00%;150;6.57021009;6.115522219;92.10651759;38.33246;11.1019049;766.6656222
49.81%;7.13%;17.36%;1.07%;1.19%;0.91%;0.21%;0.46%;0.11%;21.75%;100.00%;150;6.502607647;6.244307684;100.7544652;31.63255517;8.023278347;582.6876242
49.23%;4.30%;15.52%;1.45%;0.35%;0.36%;0.17%;0.31%;0.10%;28.21%;100.00%;150;5.925275011;4.211121008;74.51562605;31.26270217;6.66912844;658.0624067
59.36%;2.76%;12.74%;0.88%;0.41%;0.35%;0.05%;0.27%;0.09%;23.10%;100.00%;150;6.187780458;2.484175732;55.26848989;37.69604045;14.11787519;817.2340096
54.33%;5.59%;19.28%;2.11%;1.23%;0.60%;0.24%;0.30%;0.04%;16.29%;100.00%;150;6.319624082;4.531412311;95.43618917;34.50115966;10.33933369;745.5890651
50.11%;6.73%;13.21%;0.99%;0.63%;0.55%;0.15%;0.33%;0.11%;27.20%;100.00%;150;6.075764757;6.4815285;86.77702942;31.82039827;7.940396961;749.7004167
53.15%;7.31%;18.22%;1.71%;0.41%;0.58%;0.18%;0.41%;0.10%;17.92%;100.00%;150;6.011083053;7.36730563;106.0340891;33.75351205;10.27542517;633.223506
56.78%;4.38%;21.38%;1.64%;1.47%;0.26%;0.21%;0.43%;0.05%;13.39%;100.00%;150;5.930964175;2.94159541;94.8844187;36.06113856;8.2583851;771.4432396
60.39%;6.47%;16.51%;0.89%;1.34%;0.59%;0.19%;0.11%;0.05%;13.47%;100.00%;150;5.275395936;5.354791918;92.33203724;38.35087183;11.53187415;793.9174337
61.96%;1.70%;19.96%;1.94%;0.32%;0.47%;0.27%;0.30%;0.11%;12.96%;100.00%;150;5.350421659;1.450638967;70.28014362;39.34953966;11.76767933;815.720341
62.09%;7.48%;12.93%;0.91%;0.32%;0.32%;0.06%;0.21%;0.03%;15.66%;100.00%;150;6.760332615;7.665030755;89.4223974;39.43424015;9.897064212;926.3214303
50.96%;7.37%;14.64%;2.93%;0.67%;0.35%;0.07%;0.59%;0.07%;22.36%;100.00%;150;6.673578993;7.121793777;101.5864267;32.36207864;9.272602032;661.5112202
51.33%;4.95%;12.91%;1.60%;0.62%;0.33%;0.20%;0.58%;0.07%;27.40%;100.00%;150;5.706165467;4.58710059;73.59784857;32.59880924;8.244978105;709.6749249
56.25%;3.37%;15.17%;0.29%;0.84%;0.74%;0.08%;0.21%;0.04%;23.02%;100.00%;150;5.732259885;2.624148311;64.85790456;35.72163632;10.42635986;762.854931
53.33%;7.22%;17.70%;2.70%;0.68%;0.92%;0.21%;0.35%;0.05%;16.84%;100.00%;150;6.270779432;6.95631054;107.3669974;33.8700055;9.246783489;674.5073286
51.36%;1.79%;19.75%;2.58%;0.33%;0.54%;0.13%;0.38%;0.06%;23.08%;100.00%;150;5.854592457;1.524417192;68.41079309;32.62026447;11.95744343;933.2647849
56.16%;2.88%;16.89%;0.31%;1.34%;0.53%;0.07%;0.34%;0.11%;21.38%;100.00%;150;6.106413586;1.498726012;64.88208465;35.66518194;8.029783683;661.6251267
58.31%;5.69%;15.61%;0.52%;0.46%;0.46%;0.02%;0.54%;0.13%;18.26%;100.00%;150;6.334925364;5.573088189;83.26181282;37.02994772;11.66750873;770.9785695
56.85%;7.02%;23.14%;0.66%;0.89%;0.35%;0.24%;0.16%;0.04%;10.65%;100.00%;150;6.56405888;6.492994969;112.2283963;36.10616882;11.41263762;724.1216978
62.45%;4.18%;21.91%;0.36%;1.38%;0.36%;0.02%;0.52%;0.11%;8.71%;100.00%;150;0.983554585;2.840840931;86.51681879;39.66189353;10.57488793;976.1145652
55.10%;5.06%;19.17%;1.51%;0.47%;0.36%;0.15%;0.41%;0.14%;17.64%;100.00%;150;5.811700752;4.881359084;92.69616841;34.99056087;9.132620011;850.7339816
56.95%;8.00%;18.78%;2.84%;0.76%;0.77%;0.17%;0.54%;0.08%;11.10%;100.00%;150;6.483857538;7.700527168;116.0275977;36.16773338;10.16776184;654.3792065
50.37%;2.18%;24.97%;1.66%;0.97%;0.91%;0.19%;0.07%;0.14%;18.53%;100.00%;150;5.401375096;1.179124928;83.73552245;31.98569595;9.159171567;817.8652214
62.64%;2.35%;22.75%;2.12%;1.49%;0.52%;0.10%;0.35%;0.09%;7.59%;100.00%;150;0.520399092;0.744205467;79.28493874;39.7814266;14.24963697;930.1732337
56.59%;2.97%;12.31%;0.30%;0.32%;0.46%;0.04%;0.06%;0.11%;26.85%;100.00%;150;5.797464627;2.809769295;54.35913321;35.9364688;8.146958336;772.9456393
53.45%;5.26%;22.34%;1.86%;0.97%;0.56%;0.13%;0.10%;0.03%;15.29%;100.00%;150;5.776327999;4.498635945;100.4299301;33.94682494;8.795985392;835.801864
50.29%;5.57%;17.46%;2.43%;0.99%;0.84%;0.19%;0.32%;0.13%;21.78%;100.00%;150;5.752465611;4.804446675;94.16037964;31.94077168;8.010024875;818.9928321
53.32%;4.12%;20.89%;1.85%;0.69%;0.63%;0.16%;0.26%;0.06%;18.01%;100.00%;150;5.977833029;3.60409034;87.78419704;33.86015608;8.580673724;732.2909939
62.29%;4.05%;23.19%;0.26%;0.40%;0.62%;0.17%;0.40%;0.06%;8.56%;100.00%;150;5.633650939;3.870609047;90.13317744;39.5578538;11.64398966;938.3302021
54.56%;4.33%;17.70%;1.67%;1.15%;0.75%;0.28%;0.60%;0.10%;18.86%;100.00%;150;5.570753903;3.286911973;88.64514227;34.65209581;8.222619135;657.7112839
62.79%;5.36%;12.97%;2.02%;0.37%;0.71%;0.23%;0.08%;0.13%;15.34%;100.00%;150;5.604036758;5.325027824;77.96484399;39.87423148;11.35670145;839.0702652
51.84%;1.57%;18.37%;2.39%;0.77%;0.86%;0.12%;0.34%;0.02%;23.71%;100.00%;150;5.480941831;0.762419987;64.44474555;32.92067942;10.73787801;783.9441351
60.08%;2.43%;15.51%;1.03%;0.57%;0.75%;0.22%;0.24%;0.01%;19.16%;100.00%;150;2.827072843;1.933609329;61.24521922;38.15755516;11.01764442;760.8567352
51.50%;7.70%;22.43%;0.72%;0.26%;0.66%;0.21%;0.22%;0.09%;16.22%;100.00%;150;5.983132762;7.973954838;114.4687844;32.70496118;7.122099881;608.1421833
62.71%;7.34%;22.44%;0.35%;1.10%;0.36%;0.05%;0.47%;0.07%;5.11%;100.00%;150;3.818289822;6.582641362;111.3644224;39.82306521;9.674496602;759.3447436
56.53%;6.78%;14.19%;0.25%;0.86%;0.92%;0.23%;0.12%;0.11%;20.02%;100.00%;150;6.365571673;6.257557911;90.36734823;35.89938016;7.991964388;699.2130978
59.07%;1.69%;13.33%;2.48%;0.37%;0.56%;0.13%;0.21%;0.09%;22.07%;100.00%;150;6.042321766;1.385094196;52.43878363;37.51386399;11.41895013;863.4837439
54.94%;3.73%;21.83%;1.48%;0.58%;0.30%;0.02%;0.31%;0.01%;16.80%;100.00%;150;5.917742676;3.314531485;90.79439058;34.8908932;7.818253515;839.7167288
56.64%;5.57%;22.89%;2.39%;0.77%;0.63%;0.19%;0.48%;0.08%;10.37%;100.00%;150;5.758796314;5.075961325;104.5815378;35.96795515;8.363286371;831.572927
53.68%;3.08%;23.80%;0.74%;0.59%;0.39%;0.27%;0.47%;0.02%;16.95%;100.00%;150;5.361997439;2.609632816;85.39109886;34.09191276;7.899286441;806.2739801
54.57%;5.11%;16.49%;0.58%;0.93%;0.57%;0.24%;0.32%;0.10%;21.09%;100.00%;150;5.840082289;4.385045987;81.78919281;34.65298536;8.323406484;741.3970398
60.04%;2.42%;14.40%;0.78%;0.81%;0.78%;0.18%;0.10%;0.10%;20.39%;100.00%;150;3.280653135;1.633670388;60.22162441;38.13190199;13.48617365;1002.812372
61.88%;5.21%;15.90%;0.26%;0.76%;0.30%;0.04%;0.49%;0.07%;15.08%;100.00%;150;3.908356533;4.694077279;83.37586404;39.29677598;8.648590724;780.9078864
52.56%;6.84%;20.63%;2.85%;0.69%;0.45%;0.06%;0.58%;0.03%;15.32%;100.00%;150;6.632849119;6.525792167;110.1855094;33.38076327;6.601502649;724.0317909
49.11%;5.89%;20.21%;2.50%;0.60%;0.43%;0.27%;0.18%;0.12%;20.69%;100.00%;150;5.786923468;5.624170558;103.4021359;31.18554017;7.709893811;591.3737768
53.43%;6.15%;18.33%;2.19%;0.44%;0.56%;0.24%;0.31%;0.02%;18.34%;100.00%;150;6.433179691;6.097857228;96.59071043;33.93203188;7.816358783;867.0717712
57.45%;6.23%;21.15%;2.09%;0.61%;0.47%;0.06%;0.41%;0.07%;11.46%;100.00%;150;6.17300864;5.978269687;108.7423167;36.48602265;7.531081259;868.0232772
50.40%;5.64%;20.52%;0.66%;1.15%;0.79%;0.11%;0.43%;0.05%;20.24%;100.00%;150;6.260202632;4.694948631;95.48884099;32.00770006;7.571217528;832.9977529
59.45%;3.46%;21.50%;0.51%;0.55%;0.60%;0.06%;0.44%;0.14%;13.30%;100.00%;150;6.079717665;3.062121902;81.15381349;37.75209737;11.33157154;904.5604643
62.19%;6.45%;13.02%;0.90%;0.40%;0.48%;0.08%;0.15%;0.02%;16.29%;100.00%;150;4.17423265;6.467389972;82.71832592;39.49591827;11.49765441;852.7765287
61.10%;6.67%;17.88%;0.42%;1.09%;0.88%;0.15%;0.42%;0.13%;11.24%;100.00%;150;5.979930739;5.86965484;97.03579568;38.80141666;10.76109381;773.6858239
53.40%;7.12%;23.30%;1.14%;0.55%;0.65%;0.12%;0.56%;0.06%;13.10%;100.00%;150;6.668894907;7.002453941;115.1635684;33.91029274;10.4350455;881.0754771
53.56%;6.67%;12.71%;0.82%;0.42%;0.68%;0.29%;0.25%;0.04%;24.56%;100.00%;150;6.41230092;6.675147076;86.30225686;34.01359433;9.039222465;824.1296439
62.89%;6.71%;23.59%;1.63%;1.16%;0.80%;0.13%;0.29%;0.09%;2.71%;100.00%;150;1.324377332;5.829893341;114.2032157;39.93718147;12.09893054;1004.140343
