Wet Red Mud Discharge   ;Water removed through evaporation   ;Water Consumption (Pre-Decilication, Digestion, Precipitation)  ;Pure Al(OH)3 (dry, precipitated)    ;Alumunium Recovery Rate (From Feed) ;Alumunium in Recycled Spent Liquor  ;Total CaO consumed  ;Total NaOH Consumed 
64.51565714;86.08404199;67.45813111;100.9751288;87.61%;9.041611297;5.212243996;54.26276205
53.06971714;75.78214855;56.75319752;85.20242309;90.69%;9.322439213;4.350625731;45.77647136
69.64066552;78.40474712;80.43348769;97.05619619;87.58%;11.1019049;8.920784892;53.84573096
76.04868986;86.38450515;73.54608343;76.39502009;83.54%;8.023278347;9.575490413;43.47237915
56.35531829;74.80420341;60.60465357;81.17413887;89.81%;6.66912844;5.779539813;44.29896706
42.06732088;61.92661131;62.13300608;102.4344118;93.99%;14.11787519;3.708638303;54.40031193
72.11534883;88.30770211;70.42506582;87.52999442;87.75%;10.33933369;7.499700611;48.32906478
65.54860119;74.38291121;71.88061067;77.5045123;84.25%;7.940396961;9.035056274;43.81158738
80.02309324;90.18093478;76.66405378;81.142383;83.15%;10.27542517;9.810302219;46.03004711
71.67386147;93.92439625;65.42320607;90.72708508;87.03%;8.2583851;5.876979985;49.26754243
69.80621927;79.54541741;79.29031065;96.50447668;87.04%;11.53187415;8.687570262;53.46443154
53.30957325;82.08687247;58.8460918;107.4441851;94.45%;11.76767933;2.284621879;56.35535001
67.61790075;71.11410025;85.6193807;98.65319423;86.53%;9.897064212;10.0379772;55.13899096
76.68396682;86.0055775;74.71666895;76.26387276;81.51%;9.272602032;9.896721362;43.54985707
55.68120743;70.08103546;65.35890993;83.92893379;89.05%;8.244978105;6.649841092;46.09904143
49.18045763;68.77417745;62.23717175;95.58619463;92.56%;10.42635986;4.52641489;51.2033748
81.02367572;91.99494342;76.35530268;81.42493465;83.16%;9.246783489;9.697353319;46.12099597
51.87107045;81.36281566;51.53326746;90.73939194;96.22%;11.95744343;2.39825543;47.80632588
49.18962857;71.37840996;60.1898027;96.81533409;93.90%;8.029783683;3.871205765;51.54125175
63.00311546;74.83058599;74.45481705;95.1973943;88.92%;11.66750873;7.641499593;52.3444926
84.7243001;97.33961916;78.45458342;88.24020819;84.53%;11.41263762;9.43197876;49.52842953
65.46905324;85.26581708;71.24149387;105.7885052;92.26%;10.57488793;5.607435082;56.91880054
70.02406802;88.30535869;67.68154744;87.77384118;86.77%;9.132620011;6.791408042;48.1441139
87.54246015;96.01953737;82.8952103;86.61963471;82.84%;10.16776184;10.73913711;49.24654733
63.30626329;94.83335322;51.86940513;86.83383864;93.90%;9.159171567;2.929967016;46.00695353
60.10393731;87.47436303;63.30180932;109.7103017;95.39%;14.24963697;3.154269721;57.9089928
41.28450269;60.33394197;60.66932347;96.90079466;93.27%;8.146958336;3.984271201;51.6343541
75.81237102;95.12042184;67.7877159;85.66058919;87.28%;8.795985392;7.064202442;47.17111982
71.08715114;87.84200159;66.35972252;78.99831902;85.55%;8.010024875;7.473357105;43.91222798
66.34840449;88.34558216;63.13394482;88.7575544;90.67%;8.580673724;5.535840013;48.10956944
68.18907704;89.63992006;70.04793564;104.5782385;91.44%;11.64398966;5.435446888;56.22853528
66.97389457;88.32081264;62.96859515;85.87103082;85.72%;8.222619135;5.818156075;46.74248025
59.05778729;70.45825503;76.74342848;103.7714924;90.02%;11.35670145;7.203587453;56.5686608
48.86948235;78.4080141;50.7086954;91.44832372;96.08%;10.73787801;2.110160404;48.04062525
46.51046213;69.43583795;61.11618349;103.9367444;94.22%;11.01764442;3.264666262;54.96507499
