Bauxite Particle size ;Target Ca/Si Ratio in Pre-Desilication Slurry   ;Pre-Desilication Process Efficiency ;Digestion Efficiency of Bauxite   ;Steam Injected Into digester    ;Suhu Digester   ;L/S Ratio (Liquor-to-Solid in Digester) ;Target NaOH Solution Concentration in Digestion Tank    ;Digestion Steam Evaporation Loss    ;Steam Flashing Water release    ;Precipitation Temperature   ;Precipitation Yield (Al(OH)? from liquor)   ;Clarification Process Efficiency    ;Seed Alumino Hydrate Ratio  ;Free Moisture in Wet Alumina Hydrate    ;NaOH affected by carbonation    ;Wash Water Added to Red Mud (ton/ton RM)    ;Red Mud Wash Efficiency ;Spent Liquor Na2CO3 conversion efficiency   ;Minimum Causticity (Active NaOH/(NaOH+Na2CO3)   ;Total NaOH OPEX (per Hr)  ;Total CaO OPEX (Per Hr);TOTAL OPEX
71.72224426;1.2;0.8;94.39%;0.05;141.0376129;3;149.9983368;0.03;0.02;53.93284607;80.73%;0.98;2.888386965;0.1;0.1;2.5;0.8;0.9;0.85;2909.69303;390.9182997;3300.61133
65.21299744;1.2;0.8;97.90%;0.05;141.7039337;3;156.3690491;0.03;0.02;61.21471786;77.21%;0.98;2.211999416;0.1;0.1;2.5;0.8;0.9;0.85;3056.703854;326.2969298;3383.000784
55.4329567;1.2;0.8;100.00%;0.05;146.7346497;3;153.916626;0.03;0.02;62.87618637;76.38%;0.98;2.192149162;0.1;0.1;2.5;0.8;0.9;0.85;3285.104802;669.0588669;3954.163669
61.45313263;1.2;0.8;99.43%;0.05;143.4789581;3;157.1398163;0.03;0.02;59.63975906;77.96%;0.98;2.087647915;0.1;0.1;2.5;0.8;0.9;0.85;3251.303407;718.161781;3969.465188
61.6172905;1.2;0.8;99.73%;0.05;146.2836761;3;149.8012543;0.03;0.02;50.68618393;82.13%;0.98;2.451069593;0.1;0.1;2.5;0.8;0.9;0.85;2962.636888;433.465486;3396.102374
59.00828552;1.2;0.8;99.55%;0.05;142.9337616;3;156.2849731;0.03;0.02;69.58220673;72.68%;0.98;2.239590645;0.1;0.1;2.5;0.8;0.9;0.85;3093.892963;278.1478727;3372.040836
55.99637604;1.2;0.8;99.32%;0.05;140.1942902;3;158.3443451;0.03;0.02;64.0364151;75.76%;0.98;2.351610661;0.1;0.1;2.5;0.8;0.9;0.85;3159.811635;562.4775458;3722.28918
52.71335983;1.2;0.8;99.15%;0.05;140.6414795;3;144.1158142;0.03;0.02;58.85823059;78.41%;0.98;2.682904243;0.1;0.1;2.5;0.8;0.9;0.85;3037.882118;677.6292205;3715.511339
65.5462265;1.2;0.8;98.28%;0.05;145.4703217;3;141.2731934;0.03;0.02;66.49500275;74.40%;0.98;2.046055079;0.1;0.1;2.5;0.8;0.9;0.85;3005.549752;735.7726664;3741.322418
67.99407959;1.2;0.8;95.46%;0.05;140.4662476;3;151.197525;0.03;0.02;54.5222702;80.46%;0.98;2.546921253;0.1;0.1;2.5;0.8;0.9;0.85;2965.481056;440.7734989;3406.254555
62.48211288;1.2;0.8;99.03%;0.05;144.8283997;3;146.037735;0.03;0.02;64.46208954;75.54%;0.98;2.261880875;0.1;0.1;2.5;0.8;0.9;0.85;2637.700061;651.5677696;3289.267831
72.97635651;1.2;0.8;97.87%;0.05;145.0319519;3;155.5366974;0.03;0.02;61.30455017;77.19%;0.98;2.309608936;0.1;0.1;2.5;0.8;0.9;0.85;2675.212013;171.3466409;2846.558654
54.492939;1.2;0.8;100.06%;0.05;148.4168854;3;155.4981079;0.03;0.02;58.10735321;78.78%;0.98;2.661136389;0.1;0.1;2.5;0.8;0.9;0.85;3380.166629;752.84829;4133.014919
71.84567261;1.2;0.8;97.23%;0.05;143.6910095;3;154.7688446;0.03;0.02;65.04857635;75.20%;0.98;2.28194046;0.1;0.1;2.5;0.8;0.9;0.85;3336.78879;742.2541021;4079.042892
56.22561646;1.2;0.8;99.99%;0.05;148.0344391;3;142.6120605;0.03;0.02;57.30750275;79.15%;0.98;2.449815273;0.1;0.1;2.5;0.8;0.9;0.85;2853.082977;498.7380819;3351.821059
54.45646286;1.2;0.8;99.52%;0.05;142.9931183;3;143.3458405;0.03;0.02;61.14863205;77.27%;0.98;2.342273712;0.1;0.1;2.5;0.8;0.9;0.85;2866.130442;339.4811168;3205.611559
67.0194397;1.2;0.8;98.01%;0.05;143.848938;3;150.1224976;0.03;0.02;62.58377838;76.51%;0.98;2.237231493;0.1;0.1;2.5;0.8;0.9;0.85;3135.38426;727.3014989;3862.685759
52.19148254;1.2;0.8;100.55%;0.05;149.6539764;3;154.7235107;0.03;0.02;67.98728943;73.59%;0.98;2.920722485;0.1;0.1;2.5;0.8;0.9;0.85;2927.295929;179.8691573;3107.165087
54.89046097;1.2;0.8;99.93%;0.05;143.6161194;3;155.2450256;0.03;0.02;51.03944778;81.98%;0.98;2.145394325;0.1;0.1;2.5;0.8;0.9;0.85;3053.206243;290.3404324;3343.546676
50.07117081;1.2;0.8;100.01%;0.05;146.0240326;3;148.5490723;0.03;0.02;65.37290192;75.04%;0.98;2.23353529;0.1;0.1;2.5;0.8;0.9;0.85;3167.462348;573.1124695;3740.574817
71.76586151;1.2;0.8;98.17%;0.05;144.3983459;3;159.3553619;0.03;0.02;67.29732513;73.97%;0.98;2.16838336;0.1;0.1;2.5;0.8;0.9;0.85;3282.028127;707.398407;3989.426534
55.11304855;1.2;0.8;100.00%;0.05;148.0572662;3;142.8486481;0.03;0.02;57.97709656;78.85%;0.98;2.767466545;0.1;0.1;2.5;0.8;0.9;0.85;491.7790391;420.5576311;912.3366702
74.96834564;1.2;0.8;96.88%;0.05;146.7834015;3;142.6768799;0.03;0.02;59.43722916;78.13%;0.98;2.781723499;0.1;0.1;2.5;0.8;0.9;0.85;2905.849337;509.3556031;3415.204941
70.94107819;1.2;0.8;98.27%;0.05;145.7799377;3;151.2147827;0.03;0.02;63.77228546;75.88%;0.98;2.014155388;0.1;0.1;2.5;0.8;0.9;0.85;3241.930106;805.4352831;4047.365389
54.9504776;1.2;0.8;99.06%;0.05;141.6031799;3;143.9681549;0.03;0.02;59.93353653;77.88%;0.98;2.801759958;0.1;0.1;2.5;0.8;0.9;0.85;2700.68864;219.7475262;2920.436166
53.64504623;1.2;0.8;99.99%;0.05;146.2592926;3;144.9938812;0.03;0.02;67.46916199;73.89%;0.98;2.454496861;0.1;0.1;2.5;0.8;0.9;0.85;260.2044276;236.5702291;496.7746567
69.27909088;1.2;0.8;99.39%;0.05;149.1524963;3;145.2103729;0.03;0.02;51.59263611;81.76%;0.98;2.495033264;0.1;0.1;2.5;0.8;0.9;0.85;2898.731125;298.8203401;3197.551465
73.8899231;1.2;0.8;98.24%;0.05;149.0723724;3;140.4738007;0.03;0.02;58.95420074;78.37%;0.98;2.793020725;0.1;0.1;2.5;0.8;0.9;0.85;2888.16239;529.8151832;3417.977573
57.86965942;1.2;0.8;97.74%;0.05;140.9077759;3;141.2948761;0.03;0.02;58.49046326;78.59%;0.98;2.937654257;0.1;0.1;2.5;0.8;0.9;0.85;2876.232521;560.5017829;3436.734303
60.27526474;1.2;0.8;99.49%;0.05;144.2747192;3;151.0712891;0.03;0.02;56.72715378;79.43%;0.98;2.44226265;0.1;0.1;2.5;0.8;0.9;0.85;2988.920155;415.188001;3404.108156
64.47065735;1.2;0.8;98.91%;0.05;143.7458649;3;154.7107086;0.03;0.02;61.90997314;76.88%;0.98;2.624679089;0.1;0.1;2.5;0.8;0.9;0.85;2816.829658;407.6585166;3224.488174
73.94455719;1.2;0.8;94.29%;0.05;142.8691254;3;144.5195007;0.03;0.02;56.33856583;79.60%;0.98;2.257143021;0.1;0.1;2.5;0.8;0.9;0.85;2785.375777;436.3617056;3221.737483
64.39793396;1.2;0.8;99.75%;0.05;146.6627197;3;155.2320251;0.03;0.02;61.27865601;77.21%;0.98;2.329484224;0.1;0.1;2.5;0.8;0.9;0.85;2802.021953;540.2690589;3342.291012
64.44462585;1.2;0.8;99.89%;0.05;149.7744141;3;145.0555115;0.03;0.02;63.82725143;75.88%;0.98;2.519338131;0.1;0.1;2.5;0.8;0.9;0.85;2740.471307;158.2620303;2898.733337
73.519104;1.2;0.8;99.07%;0.05;149.992218;3;144.6056366;0.03;0.02;60.10602951;77.79%;0.98;2.213141441;0.1;0.1;2.5;0.8;0.9;0.85;1413.535757;244.8499696;1658.385726
56.83496475;1.2;0.8;100.00%;0.05;149.2941895;3;140.6077576;0.03;0.02;54.15781021;80.58%;0.98;2.171658993;0.1;0.1;2.5;0.8;0.9;0.85;2991.568789;775.3554278;3766.924217
63.48792267;1.2;0.8;99.58%;0.05;147.1248474;3;146.2385559;0.03;0.02;56.92115402;79.34%;0.98;2.18379283;0.1;0.1;2.5;0.8;0.9;0.85;1909.146283;739.2016506;2648.347933
70.04715729;1.2;0.8;97.34%;0.05;143.085556;3;154.9836273;0.03;0.02;54.6581192;80.39%;0.98;2.302422523;0.1;0.1;2.5;0.8;0.9;0.85;3182.782935;682.6737449;3865.45668
58.22864151;1.2;0.8;100.02%;0.05;148.7265167;3;159.8854065;0.03;0.02;61.21010971;77.24%;0.98;2.506025791;0.1;0.1;2.5;0.8;0.9;0.85;3021.162337;170.6325163;3191.794853
66.49423981;1.2;0.8;95.12%;0.05;140.6278687;3;145.0569;0.03;0.02;53.45684814;80.94%;0.98;2.87983036;0.1;0.1;2.5;0.8;0.9;0.85;2958.870603;375.3042475;3334.17485
61.67039871;1.2;0.8;99.91%;0.05;149.4572449;3;141.3359833;0.03;0.02;54.35351181;80.54%;0.98;2.660248041;0.1;0.1;2.5;0.8;0.9;0.85;2879.396274;561.1651048;3440.561379
57.9300499;1.2;0.8;98.59%;0.05;142.1915131;3;142.9552612;0.03;0.02;52.92093658;81.18%;0.98;2.736340046;0.1;0.1;2.5;0.8;0.9;0.85;2680.999218;310.6163113;2991.615529
66.73159027;1.2;0.8;99.25%;0.05;147.1899719;3;147.1027222;0.03;0.02;55.56400299;79.98%;0.98;2.452062607;0.1;0.1;2.5;0.8;0.9;0.85;2920.040485;514.5582322;3434.598717
67.55862427;1.2;0.8;97.33%;0.05;144.3066559;3;143.2478027;0.03;0.02;68.09310913;73.54%;0.98;2.803043842;0.1;0.1;2.5;0.8;0.9;0.85;1640.327812;243.4036937;1883.731505
70.554245;1.2;0.8;96.88%;0.05;144.729248;3;144.1082611;0.03;0.02;52.82376862;81.22%;0.98;2.371642828;0.1;0.1;2.5;0.8;0.9;0.85;1954.177329;524.9402351;2479.117564
73.39357758;1.2;0.8;99.02%;0.05;147.7319641;3;155.1325378;0.03;0.02;50.12936783;82.38%;0.98;2.594039917;0.1;0.1;2.5;0.8;0.9;0.85;3316.42427;688.5715354;4004.995805
70.98839569;1.2;0.8;96.28%;0.05;144.0300446;3;144.3728485;0.03;0.02;58.82201385;78.37%;0.98;2.203107357;0.1;0.1;2.5;0.8;0.9;0.85;2893.46125;593.5497307;3487.010981
57.86746979;1.2;0.8;100.00%;0.05;147.9233551;3;159.6238403;0.03;0.02;54.73650742;80.37%;0.98;2.940811157;0.1;0.1;2.5;0.8;0.9;0.85;3216.589412;619.7057635;3836.295175
69.32646942;1.2;0.8;95.99%;0.05;142.9164429;3;144.701889;0.03;0.02;51.89247894;81.63%;0.98;2.883895159;0.1;0.1;2.5;0.8;0.9;0.85;3086.502315;627.6502533;3714.152569
63.69117355;1.2;0.8;99.88%;0.05;148.0027771;3;151.740036;0.03;0.02;55.60959244;79.96%;0.98;2.976596355;0.1;0.1;2.5;0.8;0.9;0.85;3130.101646;568.3329617;3698.434608
54.28764343;1.2;0.8;99.95%;0.05;144.3004456;3;151.3734894;0.03;0.02;61.95093155;76.86%;0.98;2.614140511;0.1;0.1;2.5;0.8;0.9;0.85;3039.859613;348.473031;3388.332644
55.96325684;1.2;0.8;99.78%;0.05;144.2269592;3;147.6908417;0.03;0.02;62.8694725;76.38%;0.98;2.370769024;0.1;0.1;2.5;0.8;0.9;0.85;2087.11527;649.8043478;2736.919617
67.25222015;1.2;0.8;99.54%;0.05;147.9006653;3;149.8258667;0.03;0.02;61.43268204;77.12%;0.98;2.216048002;0.1;0.1;2.5;0.8;0.9;0.85;2989.965004;672.075343;3662.040347
65.52936554;1.2;0.8;98.98%;0.05;143.9561157;3;157.0648804;0.03;0.02;66.50027466;74.43%;0.98;2.81320858;0.1;0.1;2.5;0.8;0.9;0.85;3334.448131;716.7244794;4051.17261
73.74601746;1.2;0.8;97.76%;0.05;144.4611359;3;159.3448944;0.03;0.02;61.23006058;77.23%;0.98;2.743267536;0.1;0.1;2.5;0.8;0.9;0.85;3206.143531;671.4521325;3877.595664
63.59159088;1.2;0.8;98.86%;0.05;146.122757;3;140.0171967;0.03;0.02;64.78691864;75.37%;0.98;2.748679161;0.1;0.1;2.5;0.8;0.9;0.85;662.1952213;676.0372479;1338.232469
