Kadar Al2O3;Reactive SiO2 (Kaolinite, Clay,Ect);Fe2O3 (Hematite — INERT in NaOH);TiO2 (Rutile/Anatase — INERT);CaO (Calcium Oxide — INERT);MgO (Magnesium Oxide — INERT);Na2O (Sodium Oxide — INERT);K2O (Potassium Oxide — INERT);Cr2O3 (Chromium Oxide — INERT);Others;Alumunium Feed (Al) from bauxite   ;Alumunium in Recycled Spent Liquor  ;Alumunium Lost in Red Mud   ;Alumina Hydrate Seed;Alumunium Recovery Rate (From Feed) ;Pure Al(OH)3 (dry, precipitated)    ;NaOH Consumed (Net, Digestion)  ;Net Make-up NaOH Required (Recycled Spent Liquor)   ;CaOH Consumed (Net, Pre-Desilication)   ;CaOH2 Lost in Red Mud (Net, Clarification)  ;CaOH2  consumption (Net, Spent Liquor Conditioning) ;Total CaO consumed  ;CaO Addition in process ;Water Consumption (Pre-Decilication, Digestion, Precipitation)  ;Water added from redmud washing into conditioning   ;Water removed through evaporation   ;Wet Red Mud Discharge   ;-----;Bauxite Particle size ;Target Ca/Si Ratio in Pre-Desilication Slurry   ;Pre-Desilication Process Efficiency ;Digestion Efficiency of Bauxite   ;Steam Injected Into digester    ;Suhu Digester   ;L/S Ratio (Liquor-to-Solid in Digester) ;Target NaOH Solution Concentration in Digestion Tank    ;Digestion Steam Evaporation Loss    ;Steam Flashing Water release    ;Precipitation Temperature   ;Precipitation Yield (Al(OH)? from liquor)   ;Clarification Process Efficiency    ;Seed Alumino Hydrate Ratio  ;Free Moisture in Wet Alumina Hydrate    ;NaOH affected by carbonation    ;Wash Water Added to Red Mud (ton/ton RM)    ;Red Mud Wash Efficiency ;Spent Liquor Na2CO3 conversion efficiency   ;Minimum Causticity (Active NaOH/(NaOH+Na2CO3)   ;Total NaOH OPEX (per Hr)  ;Total CaO OPEX (Per Hr);Total OPEX;Al/Si Rati;Bauxite Feed Rate;Moisture in Bauxite;Dry Bauxite Feed rate
53.94%;7.70%;15.01%;1.88%;1.01%;0.39%;0.21%;0.53%;0.03%;19.30%;228.3720989;58.8965840;46.3544728;5128.7751921;82.74%;546.2733513;311.0618489;43.6597582;72.9235746;0.2520700;18.1579701;68.9318897;47.1648532;729.9438421;674.1731208;352.2622846;508.9789927;;70.282341;1.2;80.00%;98.44%;0.05;144.9542084;3;155.866394;0.03;0.02;60.72565079;0.774818011;98.00%;2.334920406;0.1;0.1;2.5;80.00%;0.9;0.85;21829.8790858;5169.8917288;26999.7708146;7.0051948;1000;0.2;800
49.61%;1.76%;16.83%;1.23%;1.07%;0.55%;0.20%;0.11%;0.10%;28.53%;210.0396705;69.3442263;11.4382947;5870.4258358;93.89%;570.1433892;300.6414303;36.5948157;16.6682456;0.2186315;4.1503932;15.7558605;4.0673950;372.9404601;401.2192018;445.2194756;304.4020795;;70.55255127;1.2;80.00%;98.18%;0.05;146.0691681;3;148.0413818;0.03;0.02;65.10643005;0.751929761;98.00%;2.916939497;0.1;0.1;2.5;80.00%;0.9;0.85;18297.4078355;1181.6895380;19479.0973735;28.1875000;1000;0.2;800
55.38%;6.10%;18.98%;2.25%;1.25%;0.65%;0.12%;0.60%;0.15%;14.53%;234.4687956;73.3717278;37.0519559;6810.0429573;87.45%;592.7873466;328.9578903;44.1762171;57.7706241;0.2160489;14.3848854;54.6083802;33.7654032;652.0992758;661.9830318;435.2512197;500.1581815;;59.09573746;1.2;80.00%;99.87%;0.05;144.2741394;3;159.5708771;0.03;0.02;65.74011993;0.748490604;98.00%;2.913559914;0.1;0.1;2.5;80.00%;0.9;0.85;22088.1085572;4095.6285124;26183.7370696;9.0786885;1000;0.2;800
49.92%;4.44%;17.89%;2.75%;0.70%;0.92%;0.24%;0.13%;0.14%;22.88%;211.3521538;47.1649059;27.1054296;5567.3343091;89.64%;547.7482926;299.2547167;37.6615490;42.0494378;0.1933054;10.4703100;39.7477390;26.2554738;528.7236815;568.8296196;448.2122454;429.7448088;;62.25677109;1.2;80.00%;99.73%;0.05;147.5646362;3;144.8254395;0.03;0.02;52.48376083;0.813752812;98.00%;2.900915623;0.1;0.1;2.5;80.00%;0.9;0.85;18830.7744828;2981.0804254;21811.8549083;11.2432432;1000;0.2;800
62.75%;4.38%;13.73%;1.01%;1.36%;0.82%;0.24%;0.07%;0.13%;15.52%;265.6720282;72.1637441;27.0373669;5534.3179533;88.65%;680.9148727;367.7212005;28.8750124;41.4812022;0.0000000;10.3288193;39.2106074;20.5449944;586.5362049;499.9408486;371.1600950;378.7514063;;68.59518433;1.2;80.00%;96.43%;0.05;142.4036102;3;148.6212006;0.03;0.02;60.10769653;0.777963829;98.00%;2.280640602;0.1;0.1;2.5;80.00%;0.9;0.85;14437.5061884;2940.7955548;17378.3017432;14.3264840;1000;0.2;800
51.07%;4.14%;21.65%;1.18%;1.39%;0.60%;0.12%;0.43%;0.05%;19.37%;216.2210435;54.1473749;25.3920050;5160.2641292;90.59%;566.2996155;307.6956117;39.1853821;39.2082596;0.1792095;9.7628566;37.0620810;18.5830769;518.4299062;586.5680845;483.1993808;443.1952124;;56.75382614;1.2;80.00%;99.85%;0.05;145.279007;3;146.8741608;0.03;0.02;56.33272934;0.796226372;98.00%;2.574302912;0.1;0.1;2.5;80.00%;0.9;0.85;19592.6910623;2779.6560724;22372.3471347;12.3357488;1000;0.2;800
62.43%;3.24%;13.85%;1.79%;1.34%;0.38%;0.19%;0.36%;0.12%;16.30%;264.3172067;90.3978589;20.4335784;5564.6268922;92.73%;708.6176962;377.7198558;18.6673426;30.6847249;0.0000000;7.6404965;29.0051068;12.5258863;528.5919861;433.9707114;373.4723159;329.6024097;;70.69078064;1.2;80.00%;98.81%;0.05;147.4255066;3;148.27005;0.03;0.02;66.82032013;0.742490906;98.00%;2.174870014;0.1;0.1;2.5;80.00%;0.9;0.85;9333.6713073;2175.3830132;11509.0543205;19.2685185;1000;0.2;800
56.16%;7.51%;13.39%;0.90%;0.25%;0.70%;0.13%;0.53%;0.11%;20.32%;237.7711730;49.0143585;45.2488328;5268.8673492;85.05%;584.6406803;330.0243314;45.0182330;71.1241618;0.2046225;17.7099163;67.2309730;51.8816685;735.7141014;618.1194675;304.4906838;466.9308559;;50.86836243;1.2;80.00%;100.00%;0.05;142.3977203;3;158.8249817;0.03;0.02;51.49097443;0.818051658;98.00%;2.398954391;0.1;0.1;2.5;80.00%;0.9;0.85;22509.1164891;5042.3229719;27551.4394610;7.4780293;1000;0.2;800
62.16%;6.11%;17.30%;2.27%;0.48%;0.57%;0.26%;0.23%;0.10%;10.51%;263.1740761;56.7573402;37.1600798;7040.2657377;88.88%;676.2490214;371.8593304;41.8974769;57.8653300;0.0121932;14.4084672;54.6979021;39.9971497;691.6080216;626.9339258;390.9710332;473.8171181;;61.24282074;1.2;80.00%;100.00%;0.05;148.6824951;3;156.2115173;0.03;0.02;51.54571533;0.817874808;98.00%;2.933590412;0.1;0.1;2.5;80.00%;0.9;0.85;20948.7384527;4102.3426575;25051.0811102;10.1734861;1000;0.2;800
57.16%;4.22%;15.27%;2.10%;1.29%;0.59%;0.21%;0.33%;0.03%;18.80%;242.0049902;53.1894686;25.9508790;4357.7156119;90.35%;632.1370630;341.8864853;38.0959627;39.9659071;0.0314192;9.9515109;37.7782564;19.9570494;554.0158695;510.7058375;395.8784105;386.4176718;;58.14865875;1.2;80.00%;98.72%;0.05;142.0378265;3;145.7255402;0.03;0.02;51.56568146;0.817470361;98.00%;2.021293402;0.1;0.1;2.5;80.00%;0.9;0.85;19047.9813380;2833.3692332;21881.3505712;13.5450237;1000;0.2;800
