Kadar Al2O3;Reactive SiO2 (Kaolinite, Clay,Ect);Fe2O3 (Hematite — INERT in NaOH);TiO2 (Rutile/Anatase — INERT);CaO (Calcium Oxide — INERT);MgO (Magnesium Oxide — INERT);Na2O (Sodium Oxide — INERT);K2O (Potassium Oxide — INERT);Cr2O3 (Chromium Oxide — INERT);Others;Alumunium Feed (Al) from bauxite   ;Alumunium in Recycled Spent Liquor  ;Alumunium Lost in Red Mud   ;Alumina Hydrate Seed;Alumunium Recovery Rate (From Feed) ;Pure Al(OH)3 (dry, precipitated)    ;NaOH Consumed (Net, Digestion)  ;Net Make-up NaOH Required (Recycled Spent Liquor)   ;CaOH Consumed (Net, Pre-Desilication)   ;CaOH2 Lost in Red Mud (Net, Clarification)  ;CaOH2  consumption (Net, Spent Liquor Conditioning) ;Total CaO consumed  ;CaO Addition in process ;Water Consumption (Pre-Decilication, Digestion, Precipitation)  ;Water added from redmud washing into conditioning   ;Water removed through evaporation   ;Wet Red Mud Discharge   ;-----;Bauxite Particle size ;Target Ca/Si Ratio in Pre-Desilication Slurry   ;Pre-Desilication Process Efficiency ;Digestion Efficiency of Bauxite   ;Steam Injected Into digester    ;Suhu Digester   ;L/S Ratio (Liquor-to-Solid in Digester) ;Target NaOH Solution Concentration in Digestion Tank    ;Digestion Steam Evaporation Loss    ;Steam Flashing Water release    ;Precipitation Temperature   ;Precipitation Yield (Al(OH)? from liquor)   ;Clarification Process Efficiency    ;Seed Alumino Hydrate Ratio  ;Free Moisture in Wet Alumina Hydrate    ;NaOH affected by carbonation    ;Wash Water Added to Red Mud (ton/ton RM)    ;Red Mud Wash Efficiency ;Spent Liquor Na2CO3 conversion efficiency   ;Minimum Causticity (Active NaOH/(NaOH+Na2CO3)   ;Total NaOH OPEX (per Hr)  ;Total CaO OPEX (Per Hr);Total OPEX;Al/Si Rati;Bauxite Feed Rate;Moisture in Bauxite;Dry Bauxite Feed rate
53.94%;7.70%;15.01%;1.88%;1.01%;0.39%;0.21%;0.53%;0.03%;19.30%;266.2006608;87.85300556;31.85606414;892.8148574;83.72%;644.3279392;352.1091435;28.33315166;49.20860844;0.049208608;12.2529435;46.51503148;26.55476615;483.7720635;758.7817514;719.3971722;572.9268294;;70.282341;1.2;80.00%;92.49%;0.05;144.9542084;3;155.866394;0.03;0.02;60.72565079;0.728974318;98.00%;2.334920406;0.1;0.1;2.5;80.00%;0.9;0.85;14166.57583;3488.627361;17655.20319;7.00609695;1000;0.2;800
49.61%;1.76%;16.83%;1.23%;1.07%;0.55%;0.20%;0.11%;0.10%;28.53%;228.3740089;87.85300556;46.4189891;758.4528272;83.32%;550.0838465;294.0692125;56.34045461;72.91479443;0.072914794;18.15578381;68.92359012;51.62834283;529.4166634;717.4279526;579.9994745;541.5684568;;70.55255127;1.2;80.00%;98.44%;0.05;146.0691681;3;148.0413818;0.03;0.02;65.10643005;0.774876625;98.00%;2.916939497;0.1;0.1;2.5;80.00%;0.9;0.85;28170.2273;5169.269259;33339.49656;28.22681342;1000;0.2;800
55.38%;6.10%;18.98%;2.25%;1.25%;0.65%;0.12%;0.60%;0.15%;14.53%;210.0607079;75.00298572;11.44967341;884.7184823;98.99%;601.1439566;301.4281392;6.131402868;16.64669778;0.016646698;4.145027746;15.73549214;-6.52748955;340.9646554;399.2977658;473.3017877;303.1080658;;59.09573746;1.2;80.00%;98.18%;0.05;144.2741394;3;159.5708771;0.03;0.02;65.74011993;0.751865283;98.00%;2.913559914;0.1;0.1;2.5;80.00%;0.9;0.85;3065.701434;1180.16191;4245.863344;9.082231565;1000;0.2;800
49.92%;4.44%;17.89%;2.75%;0.70%;0.92%;0.24%;0.13%;0.14%;22.88%;234.4538001;64.79183934;36.98736732;915.5694501;84.06%;569.7521817;323.7766935;75.86845362;57.74439407;0.057744394;14.37835412;54.58358595;41.51120712;481.1221362;675.0755377;616.4375615;509.7372602;;62.25677109;1.2;80.00%;99.87%;0.05;147.5646362;3;144.8254395;0.03;0.02;52.48376083;0.748475815;98.00%;2.900915623;0.1;0.1;2.5;80.00%;0.9;0.85;37934.22681;4093.768946;42027.99576;11.24791279;1000;0.2;800
62.75%;4.38%;13.73%;1.01%;1.36%;0.82%;0.24%;0.07%;0.13%;15.52%;211.3439213;69.31948875;27.18330271;871.2226583;90.24%;551.3900251;299.6662386;3.348096892;42.0303439;0.042030344;10.46555563;39.72969022;23.28746176;413.7205067;567.5950546;562.7976389;429.2367363;;68.59518433;1.2;80.00%;99.73%;0.05;142.4036102;3;148.6212006;0.03;0.02;60.10769653;0.813775211;98.00%;2.280640602;0.1;0.1;2.5;80.00%;0.9;0.85;1674.048446;2979.726767;4653.775213;14.31806053;1000;0.2;800
51.07%;4.14%;21.65%;1.18%;1.39%;0.60%;0.12%;0.43%;0.05%;19.37%;265.651965;68.25292812;27.06722712;800.3029802;93.99%;721.8446353;379.6888955;10.02431841;41.50247162;0.041502472;10.33411543;39.23071258;20.42504436;490.4714164;469.3179103;443.3036675;355.83475;;56.75382614;1.2;80.00%;96.43%;0.05;145.279007;3;146.8741608;0.03;0.02;56.33272934;0.777978109;98.00%;2.574302912;0.1;0.1;2.5;80.00%;0.9;0.85;5012.159204;2942.303443;7954.462647;12.34543418;1000;0.2;800
62.43%;3.24%;13.85%;1.79%;1.34%;0.38%;0.19%;0.36%;0.12%;16.30%;216.2107674;62.14721841;25.37676007;747.0229444;88.97%;556.1016647;297.6948974;32.19582759;39.17563752;0.039175638;9.754733742;37.03124454;18.08717223;404.8556062;611.8840833;614.3915378;462.2495646;;70.69078064;1.2;80.00%;99.85%;0.05;147.4255066;3;148.27005;0.03;0.02;66.82032013;0.79624628;98.00%;2.174870014;0.1;0.1;2.5;80.00%;0.9;0.85;16097.91379;2777.34334;18875.25713;19.29245704;1000;0.2;800
56.16%;7.51%;13.39%;0.90%;0.25%;0.70%;0.13%;0.53%;0.11%;20.32%;264.3266714;58.93135686;20.29515651;737.4063469;90.92%;694.8246438;381.5749513;25.04744762;30.64774799;0.030647748;7.63128925;28.97015396;10.92426964;436.9747314;424.0886358;460.0695628;321.8401437;;50.86836243;1.2;80.00%;98.81%;0.05;142.3977203;3;158.8249817;0.03;0.02;51.49097443;0.742429103;98.00%;2.398954391;0.1;0.1;2.5;80.00%;0.9;0.85;12523.72381;2172.761547;14696.48536;7.4829933;1000;0.2;800
62.16%;6.11%;17.30%;2.27%;0.48%;0.57%;0.26%;0.23%;0.10%;10.51%;237.7828443;66.42876994;45.2818126;769.8877149;81.79%;562.2296687;326.4862173;75.50142615;71.0804689;0.071080469;17.69903676;67.18967176;59.43835546;527.9318229;626.977183;519.6956009;473.6672191;;61.24282074;1.2;80.00%;100.00%;0.05;148.6824951;3;156.2115173;0.03;0.02;51.54571533;0.817996451;98.00%;2.933590412;0.1;0.1;2.5;80.00%;0.9;0.85;37750.71308;5039.225382;42789.93846;10.16644091;1000;0.2;800
57.16%;4.22%;15.27%;2.10%;1.29%;0.59%;0.21%;0.33%;0.03%;18.80%;263.1933443;71.74540106;37.24757442;1039.168258;93.45%;711.0638143;371.8635583;18.91651111;57.90966925;0.057909669;14.41950764;54.7398143;37.52765262;547.3808054;627.0990597;532.0536879;474.1536452;;58.14865875;1.2;80.00%;100.00%;0.05;142.0378265;3;145.7255402;0.03;0.02;51.56568146;0.817797868;98.00%;2.021293402;0.1;0.1;2.5;80.00%;0.9;0.85;9458.255557;4105.486073;13563.74163;13.55651549;1000;0.2;800
